id,contract,lang,title,text,topics,subtopics,void
1,1,de,1. Zustandekommen des Vertrages: ,"Die Darstellung der Produkte auf example.com stellt kein rechtlich bindendes Angebot, sondern einen unverbindlichen Online-Katalog dar. Durch Anklicken des Buttons „Jetzt zum genannten Preis bestellen“ geben Sie eine verbindliche Bestellung der im Warenkorb enthaltenen Waren ab. Die Bestätigung des Eingangs der Bestellung folgt unmittelbar nach dem Absenden der Bestellung und stellt noch keine Vertragsannahme dar. Der Kaufvertrag kommt erst durch ausdrückliche Erklärung oder den Versand der Ware zustande. Der Kaufvertrag/ die Kaufverträge kommt/ kommen zustande zwischen Ihnen und dem Verkäufer der von Ihnen bestellten Artikel; der jeweilige Verkäufer eines Artikels wird an verschiedenen Stellen des Bestellvorgangs angezeigt, insbesondere auf der Artikeldetailseite, im Warenkorb und vor Abschluss der Bestellung („Verkäufer: Firma <<NAME>>“). Verkäufer eines Artikels sind entweder wir (<<NAME>> (GmbH & Co KG)) oder einer unserer Partner. Unsere Partner verkaufen auf example.com Produkte im eigenen Namen und auf eigene Rechnung. Wir nehmen namens und in Vollmacht unserer Partner die Bestell- und Widerrufsabwicklung vor.",conclusionOfContract,,0.0
2,1,de,2. Widerrufsbelehrung,Widerrufsrecht,withdrawal,,0.0
3,1,de,2. Widerrufsbelehrung,"Sie haben das Recht, binnen vierzehn Tagen ohne Angabe von Gründen den Vertrag mit uns oder einem anderen Verkäufer auf example.com zu widerrufen.",withdrawal,,0.0
4,1,de,2. Widerrufsbelehrung,"Die Widerrufsfrist beträgt vierzehn Tage ab dem Tag an dem Sie oder ein von Ihnen benannter Dritter, der nicht der Beförderer ist, die letzte Ware in Besitz genommen haben bzw. hat",withdrawal,withdrawal:period,0.0
5,1,de,2. Widerrufsbelehrung,"Um Ihr Widerrufsrecht auszuüben, können Sie – gleich ob Sie einen Vertrag mit uns oder einem anderen Verkäufer auf example.com haben – uns (<<NAME>>), 000000 <<STADT>>, Tel.: 00 00 12345678, Telefax: 00 00 12345678, E-Mail-Adresse: hello@example.com) mittels einer eindeutigen Erklärung (z.B. ein mit der Post versandter Brief, Telefax oder E-Mail) über Ihren Entschluss, den Vertrag zu widerrufen, informieren. Sie können dafür das beigefügte Muster-Widerrufsformular verwenden, das jedoch nicht vorgeschrieben ist. Ihre Anmeldung einer Retoure unter Mein Konto gilt als Widerruf.",withdrawal,,0.0
6,1,de,2. Widerrufsbelehrung,"Zur Wahrung der Widerrufsfrist reicht es aus, dass Sie die Mitteilung über die Ausübung des Widerrufsrechts vor Ablauf der Widerrufsfrist absenden.",withdrawal,withdrawal:period,0.0
7,1,de,2. Widerrufsbelehrung,Folgen des Widerrufs,withdrawal,withdrawal:effects,0.0
8,1,de,2. Widerrufsbelehrung,"Wenn Sie den Vertrag widerrufen, werden Ihnen alle geleisteten Zahlungen einschließlich der Lieferkosten (mit Ausnahme der zusätzlichen Kosten, die sich daraus ergeben, dass Sie eine andere Art der Lieferung als die angebotene, günstigste Standardlieferung gewählt haben), unverzüglich und spätestens binnen vierzehn Tagen ab dem Tag zurückgezahlt, an dem die Mitteilung über Ihren Widerruf des Vertrags eingegangen ist. Für diese Rückzahlung wird dasselbe Zahlungsmittel verwendet, das Sie bei der ursprünglichen Transaktion eingesetzt haben, es sei denn, mit Ihnen wurde ausdrücklich etwas anderes vereinbart; in keinem Fall werden Ihnen wegen dieser Rückzahlung Entgelte berechnet. Die Rückzahlung kann verweigert werden, bis die Waren wieder zurückerhalten wurden oder bis Sie den Nachweis erbracht haben, dass Sie die Waren zurückgesandt haben, je nachdem, welches der frühere Zeitpunkt ist.",withdrawal,withdrawal:effects,0.0
9,1,de,2. Widerrufsbelehrung,"Sie haben die Waren unverzüglich und in jedem Fall spätestens binnen vierzehn Tagen ab dem Tag, an dem Sie über den Widerruf des Vertrags informiert haben, an den jeweiligen Verkäufer zurückzusenden. Einzelheiten und Hinweise für eine schnelle und unkomplizierte Rücksendung der Waren finden Sie unter Mein Konto. Hier können Sie insbesondere Ihr Rücksendeetikett abrufen und im Falle von Speditionssendungen die Kontaktdaten des Spediteurs einsehen. Die Frist ist gewahrt, wenn Sie die Waren vor Ablauf der Frist von vierzehn Tagen absenden.",withdrawal,,0.0
10,1,de,2. Widerrufsbelehrung,Sie tragen keine Kosten für die Rücksendung der Ware.,withdrawal,withdrawal:shippingCosts,0.0
